127.0.0.1 - - [16/Mar/2022:11:03:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:03:08 +0900] "GET /JSP/ArrDec.jsp HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:03:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:08:02 +0900] "GET /JSP/date_01.jsp HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:10:22 +0900] "GET /JSP/date_01.jsp HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:11:40 +0900] "GET /JSP/date_01.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:14:41 +0900] "GET /JSP/date_01.jsp HTTP/1.1" 500 2352
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:15:02 +0900] "GET /JSP/date_01.jsp HTTP/1.1" 500 2352
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:15:35 +0900] "GET /JSP/date_01.jsp HTTP/1.1" 500 2352
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:16:31 +0900] "GET /JSP/date_01.jsp HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:20:44 +0900] "GET /JSP/Include.jsp HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:22:48 +0900] "GET /JSP/Include.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:30:31 +0900] "GET /JSP/Quiz_05.jsp HTTP/1.1" 200 373
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:31:08 +0900] "GET /JSP/Quiz_05.jsp HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:35:21 +0900] "GET /JSP/Quiz_05.jsp HTTP/1.1" 200 370
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:38:18 +0900] "GET /JSP/Quiz_05.jsp HTTP/1.1" 200 378
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:40:57 +0900] "GET /JSP/Quiz_05.jsp HTTP/1.1" 200 381
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:41:38 +0900] "GET /JSP/Quiz_05.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:46:55 +0900] "GET /JSP/Quiz_05.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [16/Mar/2022:11:46:57 +0900] "GET /JSP/Quiz_05.jsp HTTP/1.1" 200 374
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:08:55 +0900] "GET /JSP/RequestObj.jsp HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:09:44 +0900] "GET /JSP/RequestObj.jsp HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:10:28 +0900] "GET /JSP/RequestObj.jsp HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:11:13 +0900] "GET /JSP/RequestObj.jsp HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:11:53 +0900] "GET /JSP/RequestObj.jsp HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:13:04 +0900] "GET /JSP/RequestObj.jsp HTTP/1.1" 200 286
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:19:18 +0900] "GET /JSP/Request_01.jsp HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:19:28 +0900] "GET /JSP/Request_01.jsp HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:19:42 +0900] "GET /JSP/Request_01.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:19:57 +0900] "GET /JSP/Request_01.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:20:48 +0900] "GET /JSP/Request_01.jsp?userName=%EA%B6%8C%ED%98%81%EB%8F%84&okBtn=%ED%99%95%EC%9D%B8 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:22:50 +0900] "GET /JSP/Request_01.jsp HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:26:27 +0900] "GET /JSP/Request_01.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:26:38 +0900] "GET /JSP/Request_02.jsp?userName=%EA%B6%8C%ED%98%81%EB%8F%84&okBtn=%ED%99%95%EC%9D%B8 HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:30:11 +0900] "GET /JSP/Request_01.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:30:15 +0900] "GET /JSP/Request_02.jsp?userName=%EA%B6%8C%ED%98%81%EB%8F%84&okBtn=%ED%99%95%EC%9D%B8 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:31:02 +0900] "GET /JSP/Request_01.jsp HTTP/1.1" 200 361
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:31:05 +0900] "POST /JSP/Request_02.jsp HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:31:20 +0900] "GET /JSP/Request_01.jsp HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:31:23 +0900] "GET /JSP/Request_02.jsp?userName=%EA%B6%8C%ED%98%81%EB%8F%84&okBtn=%ED%99%95%EC%9D%B8 HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [16/Mar/2022:12:32:23 +0900] "GET /JSP/Request_01.jsp HTTP/1.1" 200 348
